Tweet,Tweet timestamp,Location,Sentiment
"First, you get educated. Then you get results. Congrats to this client for her first 30 pounds lost! \n\nTo learn mor\u2026 https://t.co/BRx2iKAGop",09-02-2021 17:32,Vancouver,Negative
"@LeafRollin I was doxxed by former TSN staff and their groupies.\n\nDidn't lose my job, but they put my place of work\u2026 https://t.co/TMFueKVM6l",09-02-2021 17:32,Vancouver,Positive
I saw a lot of people complaining about The Midnight Sky on here so I thought I should do a review!\n\nRegardless of\u2026 https://t.co/DMvEaNlmLG,09-02-2021 17:32,Vancouver,Positive
@Zoica_ns2 \ud83e\udd2a,09-02-2021 17:33,Vancouver,Negative
@MukeshSharmaMLA @naseruddin_shah Let\u2019s hope so sharme ji...more power to every true voice like you!\u2026 https://t.co/NpGeJ4Jn0O,09-02-2021 17:33,Vancouver,Positive
"@kellywo90677213 @realjuliasong She\u2019s above the law, a politico.",09-02-2021 17:33,Vancouver,Negative
@ohnikkers i\u2019m so sorry. i\u2019m so so sorry.,09-02-2021 17:33,Vancouver,Negative
TSN 1040 https://t.co/gDugeh5TVo,09-02-2021 17:33,Vancouver,Positive
#BOYCOTTBELL,09-02-2021 17:33,Vancouver,Negative
"@MMadryga Always good to prepare just in case, that's true. And I think Mark is the best one to listen to as well.\u2026 https://t.co/IQUAs5s2Fx",09-02-2021 17:33,Vancouver,Positive
\u2639\ufe0f like what in the fuck,09-02-2021 17:33,Vancouver,Negative
#iAM if you\u2019re watching ME intently the \u2018IS\u2019 #futureofworks #digitaltransformation #IoT #ai #machinelearning\u2026 https://t.co/hj9yttQE6D,09-02-2021 17:33,Vancouver,Positive
@RoadblocksBC HOV check 202 on-ramp eastbound hwy 1 Langley,09-02-2021 17:33,Vancouver,Negative
Feel for you and the team! Sad news for us listeners. All the best Jeff. \u2639\ufe0f,09-02-2021 17:33,Vancouver,Negative
@brian_sebor @BanGaoRen @RomeUnholy I earned those checks. They ain't free. BTW you notice how my opinion lines up\u2026 https://t.co/WfzbR0Q8Ur,09-02-2021 17:33,Vancouver,Positive
https://t.co/4fUdy0ByJY,09-02-2021 17:33,Vancouver,Positive
@Skinny_Larry No effn\u2019 doubt,09-02-2021 17:33,Vancouver,Negative
https://t.co/qgH8RQXgGZ,09-02-2021 17:33,Vancouver,Positive
@slipperyhero DeJoy is double dipping. Taking a salary and paying his company. Who wouldn\u2019t want that gig?,09-02-2021 17:33,Vancouver,Negative
@danihuntley Now \u201cThe Weekend\u201d is playing so not so bad. \u2639\ufe0f,09-02-2021 17:33,Vancouver,Negative
@ChefSperlz Me fucking to #BOYCOTTBELL,09-02-2021 17:33,Vancouver,Negative
@DocScotch YEP,09-02-2021 17:34,Vancouver,Negative
Acho que ficam me chamando de maconheira negativamente pq t\xe3o com inveja de continuar fumando prensado paulista enq\u2026 https://t.co/8uJy4sVBHg,09-02-2021 17:34,Vancouver,Positive
This morning's milk for #tea takes me back to my grandparent's house. https://t.co/EKo4gML25z,09-02-2021 17:34,Vancouver,Positive
"@JAjowele Leave that thing, na fresh you fresh, you no kill person.",09-02-2021 17:34,Vancouver,Negative
THE JOURNEY IS\n FROM HERE TO HERE. \nAND THE ONLY TIME YOU \nCAN ARRIVE IS NOW. \n\n- Leonard Jacobson,09-02-2021 17:34,Vancouver,Positive
"@LeafRollin Yeah. I won't drag their specific names. They know who they are.\n\nShit happens, sure there is a lot of\u2026 https://t.co/LE3gRUmjXb",09-02-2021 17:34,Vancouver,Positive
Awesome stuff @BellMediaPR. You absolute ghouls. LET\u2019S TALK ABOUT THAT.,09-02-2021 17:34,Vancouver,Positive
Yo votar\xe9 TODO MORENA pero s\xed el @PartidoMorenaMx NO se pone PILAS habr\xe1n cientos de chapulines tipo Lilly T\xe9llez y\u2026 https://t.co/J0WsKDrCHV,09-02-2021 17:34,Vancouver,Positive
@chestnutlife @styled_eq I recently switched her to this grain in the last four months for the extra fat during the\u2026 https://t.co/1M64bix4Sz,09-02-2021 17:34,Vancouver,Positive
A new babe graced my bedroom\ud83d\udc9a\u2728 \n#fern #plantsofinstagram #goodvibes @ The Purple Oasis https://t.co/jnKtJCziBe,09-02-2021 17:34,Vancouver,Positive
"@chestnutlife @styled_eq Is like the perfect in between for her! And then of course she gets free choice hay, just a good quality local",09-02-2021 17:34,Vancouver,Positive
Who knew that using your on-air culture to weaponized and cannibalize their own home market demographic would have\u2026 https://t.co/bWpjdO8i7P,09-02-2021 17:34,Vancouver,Positive
"Thank you so much, Mo! I\u2019m back in air with you guys today after a nice little birthday staycation! \ud83e\udd73",09-02-2021 17:34,Vancouver,Positive
@iam_jibolar Ha!\n\nLori Iro re \u1ecd! https://t.co/5iXXUMrfhG,09-02-2021 17:34,Vancouver,Positive
"@prageru Ya, tell Scandinavia.",09-02-2021 17:34,Vancouver,Positive
Meus mi\xf3jos meu,09-02-2021 17:34,Vancouver,Negative
Wtf now I have to listen to @Sportsnet650 what the fuck. Where's @TSN1040 gone. I'd rather listen to nothing on rad\u2026 https://t.co/nFGcFId09L,09-02-2021 17:34,Vancouver,Positive
@JAjowele Standard!\n\nI dey feel you.,09-02-2021 17:34,Vancouver,Negative
@canucksteeler @BellMediaPR There is no way to do it well.,09-02-2021 17:35,Vancouver,Positive
"As always, an excellent article:  Swap pursuit of happiness for pursuit of well-being instead, writes Jennifer Moss",09-02-2021 17:35,Vancouver,Positive
@CaATiER_Chop_ER @LickertHeiko @beta_cell @FerronMathieu I will have to read the paper closely...,09-02-2021 17:35,Vancouver,Negative
